dropoff_longitude,pickup_longitude,pickup_latitude,dropoff_latitude
-73.985497,-73.995323,40.739891,40.735851000000004
-73.958557,-73.991783,40.750149,40.760624
-74.0103,-73.994263,40.750927000000004,40.711319
-73.95558199999999,-73.862625,40.769024,40.770924
-73.946678,-73.947395,40.774254,40.770621999999996
-73.994682,-74.002548,40.739596999999996,40.75034
-73.97525,-73.989067,40.751175,40.754837
-73.960724,-73.973091,40.765141,40.780682
-73.952934,-73.781921,40.644707000000004,40.780296
-73.841774,-73.789757,40.647076,40.729279
-73.944443,-73.991905,40.750084,40.794743
-73.97331199999999,-74.012001,40.713627,40.752949
-73.99234,-73.992355,40.749527,40.749538
-73.995773,-73.988174,40.722828,40.738972
-73.991173,-73.97000899999999,40.753085999999996,40.755859
-73.954033,-73.953476,40.782463,40.775528
-73.953857,-73.96299,40.758308,40.766773
-73.998901,-73.980492,40.775139,40.761359999999996
-73.95500899999999,-73.988327,40.749187,40.777607
-73.94081899999999,-73.941162,40.784382,40.780552
-73.966515,-73.988411,40.723178999999995,40.756565
-73.982887,-74.000046,40.717896,40.758511
-73.74809300000001,-73.870949,40.773895,40.729801
-73.998772,-73.99984,40.734615000000005,40.761047
-73.97647099999999,-73.972946,40.752579,40.758049
-73.994331,-74.005814,40.736576,40.724441999999996
-73.987038,-73.95500899999999,40.773445,40.754222999999996
-74.002213,-73.986053,40.746593,40.735012
-73.98650400000001,-73.98233,40.756481,40.768229999999996
-73.985168,-73.967499,40.766193,40.760242
-73.978767,-73.968117,40.801505999999996,40.783207
-73.977921,-73.990173,40.756797999999996,40.753502000000005
-73.99041,-74.002808,40.728439,40.742638
-73.955086,-73.781593,40.644847999999996,40.741512
-73.953598,-73.96444699999999,40.756508000000004,40.772724
-73.872902,-73.871048,40.733971000000004,40.734446999999996
-73.97496,-73.980591,40.75169,40.755584999999996
-73.9814,-73.96102900000001,40.779438,40.774525
-73.97421999999999,-73.989975,40.734718,40.752682
-73.96526300000001,-73.98338299999999,40.775036,40.791579999999996
-73.98696899999999,-73.96884200000001,40.757736,40.749626
-73.971069,-73.99045600000001,40.746128000000006,40.782787
-73.972565,-74.000771,40.761482,40.758796999999994
-73.99960300000001,-73.988029,40.728221999999995,40.713795000000005
-74.00026700000001,-73.98191800000001,40.736698,40.720612
-73.990341,-73.993347,40.736504,40.746487
-73.976196,-73.983528,40.762749,40.76379
